Filesystem                     Size  Used Avail Use% Mounted on
udev                           4.2G     0  4.2G   0% /dev
tmpfs                          837M  9.7M  827M   2% /run
/dev/sda1                      316G   23G  278G   8% /
tmpfs                          4.2G   35M  4.2G   1% /dev/shm
tmpfs                          5.3M  4.1k  5.3M   1% /run/lock
tmpfs                          4.2G     0  4.2G   0% /sys/fs/cgroup
//192.168.20.190/rbt-dev-bsrf  2.2T  1.9T  182G  92% /PROJ/BSRF
tmpfs                          837M   95k  837M   1% /run/user/1000
